	asker	answer
1	1108314	4572240
2	1108314	7064992
3	1108314	3908810
4	1108314	1370311
5	1108314	1339453
6	1108314	556595
7	1108314	58880
8	1108314	227436
9	1108314	2661158
10	1108314	813901
11	1108314	621316
12	1108314	1257110
13	1108314	1296733
14	1108314	2908254
15	1108314	401388
16	1108314	983169
17	1108314	1345535
18	1108314	17034
19	1108314	823599
20	1230189	2661158
21	1230189	1213289
22	1230189	1216339
23	1230189	3432690
24	1230189	1220616
25	1230189	2709214
26	1230189	7405558
27	1230189	5238041
28	1230189	1810774
29	1230189	2272490
30	1230189	4362879
31	1230189	3495563
32	1230189	1147482
33	1230189	1152004
